,scores,videos,usertimes,systemtimes,userid,sanityscore,end_time
0,5,1.mp4,28323,6478,A2QD9PJUKW7PKK,2,6936071.797878981
0,5,1.mp4,76355,11777,A3OZ8KF0HWSVWK,2,6936076.647963762
1,1,2.mp4,36512,13537,A3OZ8KF0HWSVWK,5,6936113.159963608
2,3,7.mp4,23479,11133,A3OZ8KF0HWSVWK,4,6936136.638963699
3,3,3.mp4,22172,9132,A3OZ8KF0HWSVWK,4,6936158.810963631
4,3,5.mp4,22615,9032,A3OZ8KF0HWSVWK,4,6936181.42596364
5,2,6.mp4,21706,6978,A3OZ8KF0HWSVWK,5,6936203.13196373
0,5,1.mp4,64824,22265,AXMPSUNKUBEIL,2,6936210.443911791
0,5,1.mp4,111202,44052,A2HOUSKURBF8UA,2,6936218.745895147
1,1,2.mp4,14007,9896,AXMPSUNKUBEIL,5,6936224.45091176
6,2,4.mp4,22034,15097,A3OZ8KF0HWSVWK,3,6936225.16596365
0,5,1.mp4,54995,6843,A299J4PKHAEU9H,2,6936237.190864086
2,2,6.mp4,12769,10562,AXMPSUNKUBEIL,4,6936237.219911814
1,1,2.mp4,18814,17025,A2HOUSKURBF8UA,5,6936237.559895277
1,1,2.mp4,177095,4968,A2QD9PJUKW7PKK,5,6936248.892878771
0,5,1.mp4,31548,6410,A320QA9HJFUOZO,2,6936252.399885893
3,2,4.mp4,16596,7692,AXMPSUNKUBEIL,4,6936253.81591177
2,4,4.mp4,16770,12506,A2HOUSKURBF8UA,4,6936254.329895258
1,1,2.mp4,18782,6685,A299J4PKHAEU9H,5,6936255.972863913
2,2,7.mp4,17550,4913,A2QD9PJUKW7PKK,4,6936266.442878962
1,1,2.mp4,15819,16576,A320QA9HJFUOZO,5,6936268.218885899
4,2,5.mp4,14569,4738,AXMPSUNKUBEIL,5,6936268.384911776
3,3,7.mp4,16813,29364,A2HOUSKURBF8UA,4,6936271.142895222
2,3,4.mp4,21962,5596,A299J4PKHAEU9H,5,6936277.934864044
2,2,6.mp4,13847,4106,A320QA9HJFUOZO,4,6936282.065885782
0,5,1.mp4,60071,9216,A3TUMZ954ORSUC,2,6936282.265797138
3,3,5.mp4,16011,4671,A2QD9PJUKW7PKK,4,6936282.45387888
5,3,7.mp4,15500,15208,AXMPSUNKUBEIL,5,6936283.884911776
4,4,3.mp4,16985,17573,A2HOUSKURBF8UA,4,6936288.127895117
3,5,3.mp4,16038,15257,A299J4PKHAEU9H,2,6936293.972863913
3,3,7.mp4,12946,2981,A320QA9HJFUOZO,4,6936295.011885881
6,2,3.mp4,13713,6422,AXMPSUNKUBEIL,3,6936297.597911835
5,3,6.mp4,16620,9780,A2HOUSKURBF8UA,5,6936304.747895241
4,2,5.mp4,12646,3597,A320QA9HJFUOZO,4,6936307.65788579
1,1,2.mp4,28590,6720,A3TUMZ954ORSUC,5,6936310.855797052
4,4,4.mp4,29832,83395,A2QD9PJUKW7PKK,4,6936312.285878897
4,3,5.mp4,19940,4994,A299J4PKHAEU9H,5,6936313.91286397
6,3,5.mp4,16066,31803,A2HOUSKURBF8UA,3,6936320.8138952255
5,2,3.mp4,13314,5754,A320QA9HJFUOZO,5,6936320.97188592
5,3,3.mp4,15267,19998,A2QD9PJUKW7PKK,5,6936327.552878857
6,2,4.mp4,13034,4650,A320QA9HJFUOZO,3,6936334.005885839
5,5,6.mp4,24930,6807,A299J4PKHAEU9H,5,6936338.842864037
6,2,6.mp4,16365,13290,A2QD9PJUKW7PKK,3,6936343.917878866
2,2,6.mp4,33543,11186,A3TUMZ954ORSUC,4,6936344.398797035
6,4,7.mp4,26083,15699,A299J4PKHAEU9H,5,6936364.925863981
3,3,3.mp4,30233,7241,A3TUMZ954ORSUC,5,6936374.631797075
4,2,4.mp4,17600,19299,A3TUMZ954ORSUC,5,6936392.231797218
5,1,7.mp4,45808,8878,A3TUMZ954ORSUC,5,6936438.039797068
6,2,5.mp4,22098,10064,A3TUMZ954ORSUC,5,6936460.137797117
0,5,1.mp4,59437,9975,AETIZKQNUSBLB,2,6936707.533566475
1,1,2.mp4,13551,11507,AETIZKQNUSBLB,5,6936721.084566593
2,2,5.mp4,13541,4492,AETIZKQNUSBLB,4,6936734.625566483
3,2,6.mp4,15526,6235,AETIZKQNUSBLB,4,6936750.151566505
4,3,4.mp4,15966,18844,AETIZKQNUSBLB,4,6936766.117566586
5,3,7.mp4,13484,3362,AETIZKQNUSBLB,5,6936779.601566553
6,2,3.mp4,14020,14652,AETIZKQNUSBLB,3,6936793.621566534
0,5,1.mp4,43799,9857,A26UIS59SY4NM6,2,6936810.311494827
1,1,2.mp4,15328,7633,A26UIS59SY4NM6,5,6936825.639494896
2,3,7.mp4,13769,27456,A26UIS59SY4NM6,4,6936839.408494711
3,3,6.mp4,15355,6037,A26UIS59SY4NM6,5,6936854.76349473
0,5,1.mp4,57759,106013,AVXEDARJC5HLU,2,6936856.850459337
4,2,4.mp4,14042,26305,A26UIS59SY4NM6,4,6936868.805494785
1,1,2.mp4,13288,8926,AVXEDARJC5HLU,5,6936870.138459444
5,3,3.mp4,15119,5881,A26UIS59SY4NM6,5,6936883.924494743
2,3,4.mp4,14276,8484,AVXEDARJC5HLU,4,6936884.414459467
6,2,5.mp4,14825,20609,A26UIS59SY4NM6,3,6936898.749494791
3,4,3.mp4,16642,18515,AVXEDARJC5HLU,4,6936901.056459427
4,3,7.mp4,16129,15914,AVXEDARJC5HLU,4,6936917.185459375
0,5,1.mp4,42420,19532,A27W025UEXS1G0,2,6936921.575421333
1,1,2.mp4,13585,6675,A27W025UEXS1G0,5,6936935.160421371
5,2,6.mp4,18562,6842,AVXEDARJC5HLU,5,6936935.747459412
2,1,5.mp4,13661,6091,A27W025UEXS1G0,4,6936948.821421385
6,4,5.mp4,15346,10355,AVXEDARJC5HLU,3,6936951.093459368
3,2,7.mp4,14030,4362,A27W025UEXS1G0,4,6936962.851421356
4,1,3.mp4,14177,17958,A27W025UEXS1G0,4,6936977.028421402
5,1,6.mp4,15756,6468,A27W025UEXS1G0,5,6936992.7844212055
6,1,4.mp4,14265,11137,A27W025UEXS1G0,3,6937007.04942131
0,5,1.mp4,52022,20557,A3A8P4UR9A0DWQ,2,6937045.765319347
1,1,2.mp4,15831,20583,A3A8P4UR9A0DWQ,5,6937061.596319199
2,1,7.mp4,16332,4836,A3A8P4UR9A0DWQ,5,6937077.928319216
3,1,5.mp4,16512,7280,A3A8P4UR9A0DWQ,5,6937094.4403193
4,3,4.mp4,20517,8328,A3A8P4UR9A0DWQ,5,6937114.95731926
5,2,6.mp4,26747,6122,A3A8P4UR9A0DWQ,5,6937141.704319239
6,3,3.mp4,16269,27136,A3A8P4UR9A0DWQ,5,6937157.973319292
0,5,1.mp4,153080,43640,ACSS93E03ZUGX ,2,6937313.298149824
